"Age","dx","qx"
0,483.71816974131,0.0048371816270671
1,29.7565938258011,0.000299036685216928
2,19.0939719678811,0.000191943035861269
3,15.4624968423306,0.000155468413563151
4,11.7905612724273,0.000118567894814547
5,11.0416374847185,0.000111050254471711
6,9.8596653534324,0.0000991740806764155
7,9.0672391063567,0.0000912127714478048
8,8.5641119885319,0.0000861596431083381
9,8.36143952179551,0.0000841281544067354
10,8.51951525798386,0.0000857260952167768
11,9.38415936522155,0.0000944348557050875
12,11.1545419071466,0.000112261668801017
13,13.9781728936784,0.000140695754808657
14,17.6562564698868,0.000177743182825157
15,22.1263580650695,0.000222784404326584
16,26.6010103319643,0.000267900013030654
17,31.1874690049474,0.000314177226583769
18,35.7181364126574,0.000359934943458618
19,40.2275115911189,0.000405526797446405
20,44.9407802609945,0.00045322995450197
21,49.904301113916,0.000503522719283469
22,54.7289564663336,0.000552489325598461
23,59.2400365672005,0.000598369696945871
24,63.4924707982936,0.000641718616435694
25,66.4977153344964,0.000672537929049914
26,70.6542922809521,0.000715080562634933
27,75.1586336308888,0.000761239014218629
28,80.245628417362,0.000813411617095202
29,85.8747582094124,0.00087121452469868
30,88.5920915894231,0.000899604149408664
31,94.4618219200331,0.000960147251148458
32,100.378044802898,0.00102134838120307
33,106.215828168459,0.00108194940570862
34,112.067364235863,0.00114289967986645
35,111.807097209164,0.00114166401728927
36,118.28639932244,0.00120941492200975
37,124.726704765148,0.00127704263444732
38,131.067717054807,0.00134394362358178
39,137.669983194197,0.0014138309391808
40,133.723346741521,0.00137554029634591
41,141.742264124775,0.00146053879699733
42,150.747119274533,0.00155616846446297
43,160.7324574023,0.00166248236706074
44,171.743088314233,0.00178006742176613
45,173.949579838951,0.00180695905869387
46,187.059378196637,0.00194780161922515
47,201.12400540256,0.00209966799883477
48,216.125034429645,0.00226256400036574
49,232.418905520195,0.00244045208635831
50,239.995764843451,0.00252818016351947
51,258.620748488769,0.0027339065513924
52,280.17248491056,0.00297293386935778
53,304.715587910341,0.00324666515632844
54,331.201887882691,0.00354473076371822
55,350.603948923383,0.00377080530345243
56,376.685352821528,0.00407290312472404
57,405.062188088728,0.0044049455696235
58,436.713335371711,0.00477873225762618
59,471.14530525889,0.0051903683005808
60,501.078288479713,0.00556069433777771
61,537.86688341146,0.00601665261136677
62,573.010316643439,0.00646522913515204
63,605.73198691527,0.00689800544809619
64,638.070964868108,0.00733844702229679
65,670.203876607016,0.00778950246218871
66,710.599136681661,0.00835194643560042
67,757.333854235407,0.00900873242631612
68,813.157957083771,0.00979889668970613
69,874.237378801433,0.0106845065954747
70,935.209569041705,0.0116068556067954
71,1006.5984773195,0.0127049423144625
72,1084.11989650826,0.0139380687066378
73,1151.63803444953,0.0151089885417373
74,1271.26244151805,0.0170488731695494
75,1325.44543902403,0.0182223216404796
76,1437.71443043504,0.0203114134985533
77,1538.83035424698,0.0224109624847886
78,1670.38365421618,0.02515799546755
79,1787.42403801435,0.0279576122885876
80,1826.34308445783,0.0297942784558801
81,1938.08535245359,0.0331398158838279
82,2055.20334616046,0.0370350928773076
83,2177.10811845295,0.0416081180397803
84,2297.47387058236,0.0469189688582613
85,2264.94640829444,0.0498623765006266
86,2299.5757789718,0.0551138057183484
87,2368.369858053,0.0623784821976489
88,2400.89935579922,0.0704097331834181
89,2391.17104057072,0.0792380311856234
90,2178.19382523484,0.0829123323625188
91,2081.12729467223,0.0926726760277402
92,1941.13988587361,0.103183878198671
93,1763.48756086207,0.114413730536001
94,1556.78474923742,0.126309499861735
95,1232.30512258203,0.128378060306773
96,1020.06325389843,0.140389160950477
97,814.91683478102,0.152756834479068
98,627.03871547336,0.165363131014985
99,463.854820036636,0.178080529944577
100,911.951509734193,0.528191798469457
